t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15885,0.50786,0.72611,0.00786,41.603
2,0.17176,0.51692,0.61196,0.01692,35.063
3,0.18500,0.52408,0.49556,0.02408,28.394
4,0.19908,0.52988,0.39089,0.02988,22.397
5,0.21645,0.53520,0.29709,0.03520,17.022
6,0.23350,0.53880,0.20808,0.03880,11.922
7,0.25167,0.54107,0.12416,0.04107,7.114
8,0.27027,0.54197,0.04849,0.04197,2.778
9,0.28896,0.54223,0.01418,0.04223,0.812
10,0.30723,0.54192,-0.01697,0.04192,-0.972
11,0.32532,0.54101,-0.05057,0.04101,-2.897
12,0.34498,0.53993,-0.05447,0.03993,-3.121
13,0.36447,0.53866,-0.06524,0.03866,-3.738
14,0.38315,0.53713,-0.08158,0.03713,-4.674
15,0.40310,0.53534,-0.08959,0.03534,-5.133
16,0.42366,0.53374,-0.07764,0.03374,-4.448
17,0.44310,0.53211,-0.08405,0.03211,-4.816
18,0.46292,0.53066,-0.07255,0.03066,-4.157
