t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16424,0.51261,0.72471,0.01261,41.523
2,0.18052,0.52414,0.61618,0.02414,35.304
3,0.19893,0.53448,0.51183,0.03448,29.326
4,0.21551,0.54173,0.41211,0.04173,23.612
5,0.23608,0.54855,0.32022,0.04855,18.347
6,0.25597,0.55270,0.20543,0.05270,11.770
7,0.27643,0.55500,0.11231,0.05500,6.435
8,0.29784,0.55552,0.02410,0.05552,1.381
9,0.31911,0.55503,-0.02291,0.05503,-1.312
10,0.33970,0.55392,-0.05380,0.05392,-3.082
11,0.36068,0.55207,-0.08811,0.05207,-5.048
12,0.38290,0.54963,-0.10937,0.04963,-6.267
13,0.40453,0.54732,-0.10636,0.04732,-6.094
14,0.42547,0.54441,-0.13828,0.04441,-7.923
15,0.44706,0.54107,-0.15312,0.04107,-8.773
16,0.46936,0.53778,-0.14666,0.03778,-8.403
17,0.49043,0.53430,-0.16379,0.03430,-9.384
18,0.51228,0.53064,-0.16606,0.03064,-9.514
