t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16228,0.51129,0.74341,0.01129,42.594
2,0.17612,0.52148,0.63471,0.02148,36.366
3,0.19204,0.52984,0.48334,0.02984,27.694
4,0.20707,0.53578,0.37665,0.03578,21.580
5,0.22487,0.54099,0.28476,0.04099,16.316
6,0.24379,0.54420,0.16804,0.04420,9.628
7,0.26277,0.54570,0.07871,0.04570,4.510
8,0.28194,0.54571,0.00050,0.04571,0.029
9,0.30088,0.54527,-0.02333,0.04527,-1.337
10,0.32010,0.54444,-0.04286,0.04444,-2.456
11,0.33842,0.54314,-0.07082,0.04314,-4.058
12,0.35771,0.54192,-0.06349,0.04192,-3.638
13,0.37697,0.54066,-0.06525,0.04066,-3.738
14,0.39600,0.53899,-0.08746,0.03899,-5.011
15,0.41569,0.53707,-0.09722,0.03707,-5.570
16,0.43504,0.53533,-0.08968,0.03533,-5.138
17,0.45385,0.53357,-0.09345,0.03357,-5.354
18,0.47278,0.53187,-0.08931,0.03187,-5.117
