vref,model,final_lat,max_excursion,in_bounds,speed_err
0.15,unicycle (oracle),0.0289,0.0371,1,0.0058
0.15,ego (gray-box),0.0309,0.0410,1,0.0317
0.15,grounded,0.0282,0.0421,1,0.0319
0.18,unicycle (oracle),0.0298,0.0393,1,0.0245
0.18,ego (gray-box),0.0334,0.0433,1,0.0147
0.18,grounded,0.0337,0.0459,1,0.0142
0.2,unicycle (oracle),0.0303,0.0410,1,0.0362
0.2,ego (gray-box),0.0341,0.0453,1,0.0032
0.2,grounded,0.0381,0.0488,1,0.0008
0.22,unicycle (oracle),0.0309,0.0428,1,0.0474
0.22,ego (gray-box),0.0354,0.0476,1,0.0090
0.22,grounded,0.0449,0.0539,1,0.0113
0.24,unicycle (oracle),0.0315,0.0447,1,0.0583
0.24,ego (gray-box),0.0374,0.0501,1,0.0219
0.24,grounded,0.0460,0.0567,1,0.0243
0.25,unicycle (oracle),0.0319,0.0457,1,0.0637
0.25,ego (gray-box),0.0371,0.0504,1,0.0291
0.25,grounded,0.0513,0.0592,1,0.0320
