t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16174,0.51048,0.72876,0.01048,41.755
2,0.17741,0.52139,0.60816,0.02139,34.845
3,0.19413,0.53014,0.48239,0.03014,27.639
4,0.21047,0.53638,0.36456,0.03638,20.888
5,0.23094,0.54219,0.27669,0.04219,15.853
6,0.25113,0.54576,0.17491,0.04576,10.022
7,0.27232,0.54754,0.08375,0.04754,4.799
8,0.29391,0.54761,0.00326,0.04761,0.187
9,0.31568,0.54705,-0.02583,0.04705,-1.480
10,0.33690,0.54623,-0.03840,0.04623,-2.200
11,0.35858,0.54483,-0.06451,0.04483,-3.696
12,0.38134,0.54355,-0.05614,0.04355,-3.217
13,0.40379,0.54248,-0.04778,0.04248,-2.738
14,0.42572,0.54100,-0.06756,0.04100,-3.871
15,0.44850,0.53921,-0.07820,0.03921,-4.481
16,0.47182,0.53781,-0.05988,0.03781,-3.431
17,0.49443,0.53655,-0.05561,0.03655,-3.186
18,0.51746,0.53545,-0.04801,0.03545,-2.751
