t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16259,0.51102,0.71874,0.01102,41.181
2,0.17830,0.52184,0.60342,0.02184,34.573
3,0.19528,0.53093,0.49162,0.03093,28.167
4,0.21205,0.53789,0.39298,0.03789,22.516
5,0.23193,0.54418,0.30649,0.04418,17.561
6,0.25204,0.54873,0.22259,0.04873,12.753
7,0.27349,0.55164,0.13501,0.05164,7.735
8,0.29509,0.55291,0.05875,0.05291,3.366
9,0.31647,0.55357,0.03083,0.05357,1.766
10,0.33735,0.55391,0.01623,0.05391,0.930
11,0.35813,0.55364,-0.01296,0.05364,-0.742
12,0.38056,0.55332,-0.01455,0.05332,-0.834
13,0.40232,0.55279,-0.02409,0.05279,-1.380
14,0.42375,0.55164,-0.05369,0.05164,-3.076
15,0.44604,0.54987,-0.07907,0.04987,-4.531
16,0.46838,0.54833,-0.06891,0.04833,-3.948
17,0.49018,0.54661,-0.07887,0.04661,-4.519
18,0.51245,0.54490,-0.07669,0.04490,-4.394
