t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16184,0.51089,0.74353,0.01089,42.601
2,0.17537,0.52086,0.63531,0.02086,36.400
3,0.19083,0.52901,0.48521,0.02901,27.800
4,0.20544,0.53483,0.37886,0.03483,21.707
5,0.22282,0.53995,0.28668,0.03995,16.425
6,0.24126,0.54311,0.16967,0.04311,9.722
7,0.25976,0.54464,0.08216,0.04464,4.708
8,0.27848,0.54471,0.00405,0.04471,0.232
9,0.29699,0.54434,-0.02035,0.04434,-1.166
10,0.31573,0.54359,-0.03990,0.04359,-2.286
11,0.33359,0.54236,-0.06846,0.04236,-3.923
12,0.35241,0.54120,-0.06150,0.04120,-3.524
13,0.37123,0.54001,-0.06341,0.04001,-3.633
14,0.38980,0.53842,-0.08535,0.03842,-4.890
15,0.40907,0.53657,-0.09570,0.03657,-5.483
16,0.42799,0.53490,-0.08803,0.03490,-5.044
17,0.44635,0.53318,-0.09314,0.03318,-5.337
18,0.46483,0.53154,-0.08855,0.03154,-5.074
