vref,model,final_lat,max_excursion,in_bounds,speed_err
0.12,unicycle (oracle),0.0279,0.0349,1,0.0143
0.12,ego (gray-box),0.0345,0.0399,1,0.0307
0.12,grounded,0.0304,0.0427,1,0.0445
0.15,unicycle (oracle),0.0289,0.0371,1,0.0058
0.15,ego (gray-box),0.0341,0.0419,1,0.0121
0.15,grounded,0.0320,0.0426,1,0.0262
0.18,unicycle (oracle),0.0298,0.0393,1,0.0245
0.18,ego (gray-box),0.0358,0.0442,1,0.0055
0.18,grounded,0.0308,0.0442,1,0.0113
0.2,unicycle (oracle),0.0303,0.0410,1,0.0362
0.2,ego (gray-box),0.0354,0.0463,1,0.0170
0.2,grounded,0.0282,0.0450,1,0.0002
0.22,unicycle (oracle),0.0309,0.0428,1,0.0474
0.22,ego (gray-box),0.0382,0.0479,1,0.0277
0.22,grounded,0.0273,0.0449,1,0.0121
0.24,unicycle (oracle),0.0315,0.0447,1,0.0583
0.24,ego (gray-box),0.0387,0.0499,1,0.0384
0.24,grounded,0.0272,0.0446,1,0.0262
