t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15887,0.50797,0.73211,0.00797,41.947
2,0.17254,0.51746,0.60685,0.01746,34.770
3,0.18654,0.52495,0.49117,0.02495,28.142
4,0.20100,0.53103,0.39816,0.03103,22.813
5,0.21739,0.53640,0.31640,0.03640,18.129
6,0.23276,0.53983,0.21953,0.03983,12.578
7,0.24827,0.54191,0.13343,0.04191,7.645
8,0.26543,0.54258,0.03909,0.04258,2.240
9,0.28402,0.54229,-0.01569,0.04229,-0.899
10,0.30211,0.54162,-0.03676,0.04162,-2.106
11,0.32088,0.54015,-0.07861,0.04015,-4.504
12,0.34062,0.53862,-0.07711,0.03862,-4.418
13,0.35954,0.53727,-0.07116,0.03727,-4.077
14,0.37743,0.53610,-0.06567,0.03610,-3.763
15,0.39682,0.53459,-0.07756,0.03459,-4.444
16,0.41624,0.53344,-0.05934,0.03344,-3.400
17,0.43586,0.53256,-0.04452,0.03256,-2.551
18,0.45635,0.53202,-0.02630,0.03202,-1.507
