t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16008,0.50901,0.72941,0.00901,41.792
2,0.17337,0.51847,0.61878,0.01847,35.454
3,0.18713,0.52592,0.49626,0.02592,28.433
4,0.20109,0.53165,0.38957,0.03165,22.321
5,0.21823,0.53694,0.29921,0.03694,17.143
6,0.23532,0.54056,0.20842,0.04056,11.941
7,0.25305,0.54285,0.12880,0.04285,7.380
8,0.27102,0.54382,0.05359,0.04382,3.070
9,0.28888,0.54415,0.01876,0.04415,1.075
10,0.30646,0.54402,-0.00746,0.04402,-0.427
11,0.32391,0.54340,-0.03571,0.04340,-2.046
12,0.34231,0.54266,-0.03991,0.04266,-2.287
13,0.36080,0.54186,-0.04317,0.04186,-2.473
14,0.37876,0.54083,-0.05734,0.04083,-3.285
15,0.39771,0.53955,-0.06747,0.03955,-3.866
16,0.41682,0.53835,-0.06260,0.03835,-3.586
17,0.43488,0.53700,-0.07506,0.03700,-4.300
18,0.45299,0.53585,-0.06337,0.03585,-3.631
