t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15992,0.50912,0.74341,0.00912,42.594
2,0.17138,0.51761,0.63758,0.01761,36.530
3,0.18418,0.52448,0.49282,0.02448,28.237
4,0.19666,0.52965,0.39215,0.02965,22.469
5,0.21152,0.53423,0.29906,0.03423,17.135
6,0.22710,0.53715,0.18521,0.03715,10.612
7,0.24265,0.53883,0.10755,0.03883,6.162
8,0.25880,0.53933,0.03114,0.03933,1.784
9,0.27474,0.53933,-0.00018,0.03933,-0.010
10,0.29067,0.53891,-0.02592,0.03891,-1.485
11,0.30600,0.53805,-0.05595,0.03805,-3.205
12,0.32199,0.53728,-0.04825,0.03728,-2.764
13,0.33833,0.53640,-0.05418,0.03640,-3.104
14,0.35433,0.53521,-0.07380,0.03521,-4.228
15,0.37114,0.53378,-0.08496,0.03378,-4.868
16,0.38763,0.53247,-0.07915,0.03247,-4.535
17,0.40338,0.53110,-0.08681,0.03110,-4.974
18,0.41932,0.52979,-0.08235,0.02979,-4.718
