vref,model,final_lat,max_excursion,in_bounds,speed_err
0.12,unicycle (oracle),0.0279,0.0349,1,0.0143
0.12,ego (gray-box),0.0343,0.0393,1,0.0267
0.12,grounded,0.0178,0.0307,1,0.0330
0.15,unicycle (oracle),0.0289,0.0371,1,0.0058
0.15,ego (gray-box),0.0341,0.0410,1,0.0071
0.15,grounded,0.0260,0.0338,1,0.0073
0.18,unicycle (oracle),0.0298,0.0393,1,0.0245
0.18,ego (gray-box),0.0351,0.0436,1,0.0118
0.18,grounded,0.0333,0.0363,1,0.0125
0.2,unicycle (oracle),0.0303,0.0410,1,0.0362
0.2,ego (gray-box),0.0344,0.0452,1,0.0247
0.2,grounded,0.0417,0.0424,1,0.0280
0.22,unicycle (oracle),0.0309,0.0428,1,0.0474
0.22,ego (gray-box),0.0351,0.0469,1,0.0360
0.22,grounded,0.0443,0.0465,1,0.0413
0.24,unicycle (oracle),0.0315,0.0447,1,0.0583
0.24,ego (gray-box),0.0339,0.0485,1,0.0471
0.24,grounded,0.0481,0.0528,1,0.0510
