t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.15875,0.50810,0.74660,0.00810,42.777
2,0.17439,0.51776,0.55360,0.01776,31.719
3,0.18905,0.52348,0.37165,0.02348,21.294
4,0.20130,0.52678,0.26372,0.02678,15.110
5,0.21814,0.52967,0.16942,0.02967,9.707
6,0.23538,0.53071,0.06071,0.03071,3.479
7,0.25198,0.52970,-0.06070,0.02970,-3.478
8,0.26834,0.52754,-0.13168,0.02754,-7.545
9,0.28295,0.52506,-0.16815,0.02506,-9.634
10,0.29836,0.52212,-0.18833,0.02212,-10.791
11,0.31350,0.52034,-0.11707,0.02034,-6.708
12,0.32847,0.51958,-0.05059,0.01958,-2.898
13,0.34377,0.51922,-0.02361,0.01922,-1.353
14,0.35796,0.51835,-0.06109,0.01835,-3.500
15,0.37306,0.51810,-0.01691,0.01810,-0.969
16,0.38791,0.51825,0.01030,0.01825,0.590
17,0.40222,0.51810,-0.01045,0.01810,-0.599
18,0.41690,0.51778,-0.02175,0.01778,-1.246
