t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16237,0.51115,0.73343,0.01115,42.023
2,0.17621,0.52123,0.62960,0.02123,36.074
3,0.19156,0.52951,0.49470,0.02951,28.344
4,0.20605,0.53549,0.39172,0.03549,22.444
5,0.22341,0.54094,0.30394,0.04094,17.414
6,0.24169,0.54441,0.18746,0.04441,10.741
7,0.26031,0.54636,0.10428,0.04636,5.975
8,0.27906,0.54692,0.02989,0.04692,1.713
9,0.29787,0.54695,0.00162,0.04695,0.093
10,0.31676,0.54649,-0.02411,0.04649,-1.381
11,0.33501,0.54562,-0.04749,0.04562,-2.721
12,0.35424,0.54473,-0.04653,0.04473,-2.666
13,0.37348,0.54374,-0.05138,0.04374,-2.944
14,0.39226,0.54220,-0.08191,0.04220,-4.693
15,0.41189,0.54036,-0.09347,0.04036,-5.356
16,0.43090,0.53869,-0.08755,0.03869,-5.017
17,0.44965,0.53679,-0.10107,0.03679,-5.791
18,0.46855,0.53511,-0.08847,0.03511,-5.069
