t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.16110,0.51022,0.74376,0.01022,42.614
2,0.17393,0.51969,0.63628,0.01969,36.456
3,0.18848,0.52742,0.48829,0.02742,27.977
4,0.20230,0.53299,0.38336,0.03299,21.965
5,0.21882,0.53794,0.29093,0.03794,16.669
6,0.23630,0.54102,0.17415,0.04102,9.978
7,0.25380,0.54260,0.09005,0.04260,5.159
8,0.27164,0.54282,0.01232,0.04282,0.706
9,0.28927,0.54257,-0.01379,0.04257,-0.790
10,0.30705,0.54196,-0.03460,0.04196,-1.982
11,0.32402,0.54087,-0.06426,0.04087,-3.682
12,0.34186,0.53984,-0.05750,0.03984,-3.294
13,0.35981,0.53876,-0.06025,0.03876,-3.452
14,0.37748,0.53732,-0.08126,0.03732,-4.656
15,0.39590,0.53561,-0.09232,0.03561,-5.289
16,0.41398,0.53407,-0.08489,0.03407,-4.864
17,0.43145,0.53246,-0.09181,0.03246,-5.260
18,0.44905,0.53094,-0.08656,0.03094,-4.960
