y0,model,final_lat,max_excursion,in_bounds,speed_err
0.05,unicycle (oracle),,0.1070,1,
0.05,ego (gray-box),,0.1110,1,
0.05,grounded,,0.1240,1,
0.05,residual JEPA (probe),,0.1130,1,
0.1,unicycle (oracle),,0.1520,1,
0.1,ego (gray-box),,0.1580,1,
0.1,grounded,,0.1750,1,
0.1,residual JEPA (probe),,0.1690,1,
0.13,unicycle (oracle),,0.1780,1,
0.13,ego (gray-box),,0.1870,1,
0.13,grounded,,0.1920,1,
0.13,residual JEPA (probe),,0.2000,0,
0.15,unicycle (oracle),,0.1960,1,
0.15,ego (gray-box),,0.1990,1,
0.15,grounded,,0.2130,0,
0.15,residual JEPA (probe),,0.3830,0,
0.17,unicycle (oracle),,0.2200,0,
0.17,ego (gray-box),,0.2160,0,
0.17,grounded,,0.2400,0,
0.17,residual JEPA (probe),,0.5650,0,
0.18,unicycle (oracle),,0.2260,0,
0.18,ego (gray-box),,0.2140,0,
0.18,grounded,,0.2290,0,
0.18,residual JEPA (probe),,0.4230,0,
