t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.16155,0.69104,1.06864,0.19104,61.229
2,0.16839,0.71404,1.28173,0.21404,73.438
3,0.17444,0.73727,1.31612,0.23727,75.408
4,0.17741,0.76108,1.44655,0.26108,82.881
5,0.18275,0.78448,1.34646,0.28448,77.147
6,0.18788,0.80793,1.35550,0.30793,77.664
7,0.19418,0.83108,1.30502,0.33108,74.772
8,0.20587,0.85205,1.06217,0.35205,60.858
9,0.22108,0.87061,0.88460,0.37061,50.684
10,0.23318,0.89134,1.04212,0.39134,59.709
11,0.24443,0.91254,1.08310,0.41254,62.057
12,0.25381,0.93463,1.16900,0.43463,66.979
13,0.26371,0.95649,1.14572,0.45649,65.645
14,0.27113,0.97932,1.25674,0.47932,72.006
15,0.27809,1.00229,1.27643,0.50229,73.134
16,0.28357,1.02565,1.34038,0.52565,76.798
17,0.29466,1.04693,1.09038,0.54693,62.474
18,0.31067,1.06481,0.84045,0.56481,48.154
