t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.68000,0.95993,0.18000,55.000
1,0.16525,0.69854,0.88246,0.19854,50.561
2,0.18449,0.71288,0.64063,0.21288,36.705
3,0.20668,0.72202,0.39063,0.22202,22.381
4,0.23042,0.72553,0.14679,0.22553,8.410
5,0.25433,0.72348,-0.08564,0.22348,-4.907
6,0.27725,0.71634,-0.30195,0.21634,-17.300
7,0.29855,0.70528,-0.47899,0.20528,-27.444
8,0.32058,0.69576,-0.40791,0.19576,-23.371
9,0.34306,0.68737,-0.35708,0.18737,-20.459
10,0.36519,0.67807,-0.39764,0.17807,-22.783
11,0.38699,0.66803,-0.43163,0.16803,-24.730
12,0.40902,0.65851,-0.40786,0.15851,-23.369
13,0.43203,0.65170,-0.28783,0.15170,-16.491
14,0.45472,0.64387,-0.33220,0.14387,-19.034
15,0.47761,0.63665,-0.30581,0.13665,-17.522
16,0.50077,0.63037,-0.26461,0.13037,-15.161
17,0.52404,0.62447,-0.24845,0.12447,-14.235
18,0.54752,0.61952,-0.20793,0.11952,-11.914
