t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16521,0.61856,0.88429,0.11856,50.666
2,0.18350,0.63410,0.70433,0.13410,40.355
3,0.20398,0.64661,0.54825,0.14661,31.412
4,0.22666,0.65448,0.33398,0.15448,19.136
5,0.25039,0.65806,0.14986,0.15806,8.586
6,0.27439,0.65837,0.01294,0.15837,0.741
7,0.29827,0.65599,-0.09966,0.15599,-5.710
8,0.32199,0.65236,-0.15163,0.15236,-8.688
9,0.34566,0.64837,-0.16714,0.14837,-9.576
10,0.36903,0.64293,-0.22873,0.14293,-13.105
11,0.39210,0.63632,-0.27904,0.13632,-15.988
12,0.41537,0.63041,-0.24866,0.13041,-14.247
13,0.43874,0.62495,-0.22925,0.12495,-13.135
14,0.46195,0.61885,-0.25718,0.11885,-14.735
15,0.48520,0.61291,-0.25022,0.11291,-14.337
16,0.50844,0.60690,-0.25290,0.10690,-14.490
17,0.53177,0.60128,-0.23637,0.10128,-13.543
18,0.55520,0.59609,-0.21824,0.09609,-12.504
