t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16528,0.61851,0.88089,0.11851,50.471
2,0.18373,0.63386,0.69381,0.13386,39.753
3,0.20400,0.64671,0.56496,0.14671,32.370
4,0.22540,0.65757,0.46982,0.15757,26.918
5,0.24789,0.66596,0.35684,0.16596,20.445
6,0.27107,0.67217,0.26204,0.17217,15.014
7,0.29495,0.67451,0.09729,0.17451,5.575
8,0.31893,0.67346,-0.04360,0.17346,-2.498
9,0.34254,0.66916,-0.18006,0.16916,-10.316
10,0.36589,0.66362,-0.23317,0.16362,-13.360
11,0.38872,0.65620,-0.31418,0.15620,-18.001
12,0.41204,0.65054,-0.23822,0.15054,-13.649
13,0.43507,0.64378,-0.28517,0.14378,-16.339
14,0.45786,0.63626,-0.31892,0.13626,-18.273
15,0.48065,0.62875,-0.31827,0.12875,-18.236
16,0.50351,0.62143,-0.30993,0.12143,-17.757
17,0.52685,0.61581,-0.23613,0.11581,-13.529
18,0.55008,0.60980,-0.25319,0.10980,-14.507
