y0,model,final_lat,max_excursion,in_bounds,speed_err
0.05,unicycle (oracle),0.0689,0.1013,1,nan
0.05,ego (gray-box),0.0732,0.1026,1,nan
0.05,grounded,0.0794,0.1138,1,nan
0.05,residual JEPA (probe),0.0658,0.1050,1,nan
0.1,unicycle (oracle),0.0996,0.1474,1,nan
0.1,ego (gray-box),0.1041,0.1510,1,nan
0.1,grounded,0.1159,0.1649,1,nan
0.1,residual JEPA (probe),0.0958,0.1517,1,nan
0.13,unicycle (oracle),0.1130,0.1724,1,nan
0.13,ego (gray-box),0.1233,0.1782,1,nan
0.13,grounded,0.1503,0.2019,0,nan
0.13,residual JEPA (probe),0.1020,0.1714,1,nan
0.15,unicycle (oracle),0.1216,0.1891,1,nan
0.15,ego (gray-box),0.1349,0.1959,1,nan
0.15,grounded,0.1334,0.2144,0,nan
0.15,residual JEPA (probe),0.4253,0.4253,0,nan
0.17,unicycle (oracle),0.1250,0.2080,0,nan
0.17,ego (gray-box),0.1317,0.2062,0,nan
0.17,grounded,0.1553,0.2231,0,nan
0.17,residual JEPA (probe),0.4936,0.4936,0,nan
0.18,unicycle (oracle),0.1233,0.2214,0,nan
0.18,ego (gray-box),0.1231,0.2184,0,nan
0.18,grounded,0.1374,0.2310,0,nan
0.18,residual JEPA (probe),0.4817,0.4817,0,nan
