t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.63000,0.95993,0.13000,55.000
1,0.16303,0.64515,0.86060,0.14515,49.309
2,0.17939,0.65662,0.61158,0.15662,35.041
3,0.19783,0.66431,0.39469,0.16431,22.614
4,0.21694,0.67015,0.29694,0.17015,17.013
5,0.23679,0.67245,0.11492,0.17245,6.585
6,0.25673,0.67117,-0.06388,0.17117,-3.660
7,0.27649,0.66818,-0.15024,0.16818,-8.608
8,0.29607,0.66418,-0.20146,0.16418,-11.543
9,0.31540,0.65911,-0.25672,0.15911,-14.709
10,0.33465,0.65375,-0.27154,0.15375,-15.558
11,0.35328,0.64653,-0.36957,0.14653,-21.175
12,0.37234,0.64052,-0.30535,0.14052,-17.495
13,0.39161,0.63522,-0.26849,0.13522,-15.384
14,0.41099,0.63038,-0.24500,0.13038,-14.037
15,0.43044,0.62580,-0.23124,0.12580,-13.249
16,0.45006,0.62202,-0.19021,0.12202,-10.898
17,0.46951,0.61741,-0.23268,0.11741,-13.332
18,0.48901,0.61304,-0.22063,0.11304,-12.641
