t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.15887,0.68790,1.11070,0.18790,63.639
2,0.16487,0.70697,1.26612,0.20697,72.543
3,0.16943,0.72642,1.34051,0.22642,76.806
4,0.17149,0.74630,1.46740,0.24630,84.076
5,0.17258,0.76625,1.51604,0.26625,86.863
6,0.17359,0.78621,1.52020,0.28621,87.101
7,0.17552,0.80610,1.47435,0.30610,84.474
8,0.17803,0.82592,1.44472,0.32592,82.776
9,0.18194,0.84552,1.37369,0.34552,78.707
10,0.18778,0.86463,1.27439,0.36463,73.017
11,0.19378,0.88369,1.26577,0.38369,72.523
12,0.20431,0.90067,1.01577,0.40067,58.199
13,0.21477,0.91770,1.02004,0.41770,58.444
14,0.22583,0.93434,0.98413,0.43434,56.387
15,0.23716,0.95080,0.96804,0.45080,55.465
16,0.25004,0.96607,0.87008,0.46607,49.852
17,0.26391,0.98046,0.80380,0.48046,46.055
18,0.27894,0.99363,0.71937,0.49363,41.217
