t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.68000,0.95993,0.18000,55.000
1,0.16268,0.69544,0.88305,0.19544,50.595
2,0.17860,0.70752,0.64942,0.20752,37.209
3,0.19701,0.71529,0.39943,0.21529,22.886
4,0.21675,0.71840,0.15612,0.21840,8.945
5,0.23665,0.71665,-0.08789,0.21665,-5.036
6,0.25571,0.71063,-0.30593,0.21063,-17.528
7,0.27374,0.70203,-0.44496,0.20203,-25.494
8,0.29136,0.69259,-0.49215,0.19259,-28.198
9,0.30960,0.68445,-0.41962,0.18445,-24.043
10,0.32778,0.67614,-0.42852,0.17614,-24.552
11,0.34542,0.66676,-0.48862,0.16676,-27.996
12,0.36380,0.65891,-0.40399,0.15891,-23.147
13,0.38286,0.65292,-0.30427,0.15292,-17.433
14,0.40156,0.64588,-0.36000,0.14588,-20.626
15,0.42052,0.63956,-0.32197,0.13956,-18.447
16,0.43962,0.63368,-0.29836,0.13368,-17.095
17,0.45888,0.62837,-0.26941,0.12837,-15.436
18,0.47814,0.62305,-0.26914,0.12305,-15.420
