t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16324,0.61497,0.84671,0.11497,48.513
2,0.17831,0.62809,0.71626,0.12809,41.038
3,0.19483,0.63934,0.59791,0.13934,34.258
4,0.21247,0.64871,0.48848,0.14871,27.988
5,0.23096,0.65629,0.38867,0.15629,22.269
6,0.25018,0.66177,0.27770,0.16177,15.911
7,0.26992,0.66489,0.15685,0.16489,8.987
8,0.28989,0.66438,-0.02535,0.16438,-1.453
9,0.30957,0.66090,-0.17485,0.16090,-10.018
10,0.32867,0.65503,-0.29842,0.15503,-17.098
11,0.34799,0.64994,-0.25737,0.14994,-14.746
12,0.36742,0.64527,-0.23594,0.14527,-13.518
13,0.38706,0.64157,-0.18656,0.14157,-10.689
14,0.40659,0.63732,-0.21389,0.13732,-12.255
15,0.42588,0.63213,-0.26286,0.13213,-15.061
16,0.44520,0.62701,-0.25897,0.12701,-14.838
17,0.46434,0.62130,-0.29009,0.12130,-16.621
18,0.48358,0.61587,-0.27524,0.11587,-15.770
