y0,model,final_lat,max_excursion,in_bounds,speed_err
0.05,unicycle (oracle),0.0754,0.1026,1,0.0325
0.05,ego (gray-box),0.0736,0.1045,1,0.0013
0.05,grounded,0.0870,0.1211,1,0.0015
0.05,residual JEPA (probe),0.1685,0.1685,1,0.1117
0.1,unicycle (oracle),0.1036,0.1422,1,0.0391
0.1,ego (gray-box),0.1018,0.1524,1,0.0031
0.1,grounded,0.1173,0.1699,1,0.0029
0.1,residual JEPA (probe),0.1983,0.1983,1,0.1290
0.13,unicycle (oracle),0.1185,0.1662,1,0.0383
0.13,ego (gray-box),0.1246,0.1848,1,0.0082
0.13,grounded,0.1384,0.1834,1,0.0179
0.13,residual JEPA (probe),0.2379,0.2379,0,0.1286
0.15,unicycle (oracle),0.1271,0.1772,1,0.0508
0.15,ego (gray-box),0.1306,0.1917,1,0.0012
0.15,grounded,0.1786,0.2399,0,0.0344
0.15,residual JEPA (probe),0.2612,0.2612,0,0.1278
0.17,unicycle (oracle),0.1349,0.1922,1,0.0532
0.17,ego (gray-box),0.1259,0.1984,1,0.0132
0.17,grounded,0.1173,0.2003,0,0.0000
0.17,residual JEPA (probe),0.2611,0.2611,0,0.1243
0.18,unicycle (oracle),0.1313,0.1932,1,0.0425
0.18,ego (gray-box),0.1218,0.1983,1,0.0244
0.18,grounded,0.1317,0.2177,0,0.0009
0.18,residual JEPA (probe),0.2652,0.2652,0,0.1418
