t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.55000,0.95993,0.05000,55.000
1,0.15948,0.56229,0.91401,0.06229,52.369
2,0.17183,0.57430,0.77136,0.07430,44.196
3,0.18566,0.58417,0.61971,0.08417,35.507
4,0.19963,0.59158,0.48756,0.09158,27.935
5,0.21708,0.59832,0.36865,0.09832,21.122
6,0.23609,0.60268,0.22560,0.10268,12.926
7,0.25525,0.60453,0.09607,0.10453,5.505
8,0.27588,0.60435,-0.00876,0.10435,-0.502
9,0.29657,0.60317,-0.05706,0.10317,-3.269
10,0.31711,0.60118,-0.09650,0.10118,-5.529
11,0.33813,0.59851,-0.12603,0.09851,-7.221
12,0.36015,0.59557,-0.13287,0.09557,-7.613
13,0.38214,0.59270,-0.12990,0.09270,-7.443
14,0.40343,0.58927,-0.15965,0.08927,-9.147
15,0.42578,0.58526,-0.17746,0.08526,-10.168
16,0.44839,0.58115,-0.17973,0.08115,-10.298
17,0.47021,0.57727,-0.17598,0.07727,-10.083
18,0.49224,0.57356,-0.16717,0.07356,-9.578
