t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.55000,0.95993,0.05000,55.000
1,0.15615,0.55854,0.94662,0.05854,54.237
2,0.16257,0.56730,0.93859,0.06730,53.777
3,0.16562,0.57153,0.94569,0.07153,54.184
4,0.16934,0.57837,1.07252,0.07837,61.451
5,0.17369,0.58523,1.00545,0.08523,57.608
6,0.17726,0.59618,1.25545,0.09618,71.932
7,0.17757,0.60092,1.50545,0.10092,86.256
8,0.17670,0.60559,1.75545,0.10559,100.580
9,0.17697,0.61033,1.51522,0.11033,86.816
10,0.17782,0.61501,1.39047,0.11501,79.668
11,0.17933,0.61951,1.24700,0.11951,71.448
12,0.18145,0.62376,1.10882,0.12376,63.531
13,0.18415,0.62767,0.96545,0.12767,55.316
14,0.18740,0.63113,0.81606,0.13113,46.757
15,0.19723,0.64197,0.83425,0.14197,47.799
16,0.20095,0.64493,0.67303,0.14493,38.562
17,0.22231,0.65737,0.52722,0.15737,30.207
18,0.24221,0.66847,0.50892,0.16847,29.159
