t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.63000,0.95993,0.13000,55.000
1,0.15254,0.63401,1.00641,0.13401,57.663
2,0.16219,0.64360,0.78219,0.14360,44.816
3,0.17160,0.64975,0.57897,0.14975,33.173
4,0.18455,0.65728,0.52620,0.15728,30.149
5,0.19648,0.66198,0.37608,0.16198,21.548
6,0.21262,0.66539,0.20811,0.16539,11.924
7,0.22786,0.66619,0.05196,0.16619,2.977
8,0.24429,0.66517,-0.06188,0.16517,-3.545
9,0.26160,0.66304,-0.12248,0.16304,-7.018
10,0.27985,0.65941,-0.19639,0.15941,-11.252
11,0.29675,0.65504,-0.25283,0.15504,-14.486
12,0.31457,0.65068,-0.23981,0.15068,-13.740
13,0.33299,0.64622,-0.23763,0.14622,-13.615
14,0.35104,0.64032,-0.31574,0.14032,-18.091
15,0.36982,0.63459,-0.29659,0.13459,-16.993
16,0.38823,0.62890,-0.29963,0.12890,-17.168
17,0.40587,0.62344,-0.30011,0.12344,-17.195
18,0.42342,0.61848,-0.27546,0.11848,-15.783
