t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,0.95993,0.15000,55.000
1,0.15241,0.65410,1.03962,0.15410,59.566
2,0.15448,0.65837,1.11783,0.15837,64.047
3,0.15697,0.66370,1.13394,0.16370,64.970
4,0.15892,0.66803,1.14810,0.16803,65.781
5,0.16074,0.67242,1.17822,0.17242,67.507
6,0.16249,0.67683,1.19260,0.17683,68.331
7,0.17496,0.69399,0.94260,0.19399,54.007
8,0.18772,0.70857,0.85194,0.20857,48.812
9,0.20709,0.72437,0.68384,0.22437,39.181
10,0.22382,0.73285,0.46932,0.23285,26.890
11,0.24763,0.73922,0.26164,0.23922,14.991
12,0.27238,0.73993,0.02836,0.23993,1.625
13,0.29312,0.73552,-0.20947,0.23552,-12.002
14,0.31059,0.72738,-0.43581,0.22738,-24.970
15,0.33065,0.71269,-0.63190,0.21269,-36.205
16,0.34906,0.70286,-0.49050,0.20286,-28.104
17,0.36907,0.69040,-0.55723,0.19040,-31.927
18,0.39104,0.67856,-0.49433,0.17856,-28.323
