theta,model,final_lat,max_excursion,in_bounds
15.0,unicycle (oracle),0.0128,0.0260,1
15.0,ego (gray-box),0.0111,0.0268,1
15.0,grounded,0.0171,0.0222,1
15.0,residual JEPA (probe),0.0240,0.0240,1
30.0,unicycle (oracle),0.0239,0.0562,1
30.0,ego (gray-box),0.0163,0.0531,1
30.0,grounded,0.0290,0.0535,1
30.0,residual JEPA (probe),0.0250,0.0540,1
45.0,unicycle (oracle),0.0322,0.0777,1
45.0,ego (gray-box),0.0240,0.0796,1
45.0,grounded,0.0348,0.0788,1
45.0,residual JEPA (probe),0.0283,0.0778,1
60.0,unicycle (oracle),0.0489,0.1104,1
60.0,ego (gray-box),0.0446,0.1119,1
60.0,grounded,0.0467,0.1098,1
60.0,residual JEPA (probe),0.0466,0.1117,1
75.0,unicycle (oracle),0.0656,0.1428,1
75.0,ego (gray-box),0.0579,0.1432,1
75.0,grounded,0.0648,0.1427,1
75.0,residual JEPA (probe),0.0771,0.1661,1
90.0,unicycle (oracle),0.1014,0.2013,0
90.0,ego (gray-box),0.0920,0.2006,0
90.0,grounded,0.0908,0.1914,1
90.0,residual JEPA (probe),0.3972,0.4541,0
