t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18035,0.52605,0.70938,0.02605,40.645
2,0.21435,0.54713,0.55487,0.04713,31.792
3,0.25026,0.56475,0.45631,0.06475,26.144
4,0.28888,0.57515,0.26294,0.07515,15.065
5,0.32868,0.57914,0.09991,0.07914,5.725
6,0.36868,0.57957,0.01085,0.07957,0.622
7,0.40859,0.57685,-0.06827,0.07685,-3.912
8,0.44845,0.57359,-0.08148,0.07359,-4.668
9,0.48831,0.57023,-0.08405,0.07023,-4.816
10,0.52803,0.56548,-0.11897,0.06548,-6.817
11,0.56749,0.55890,-0.16523,0.05890,-9.467
12,0.60716,0.55382,-0.12739,0.05382,-7.299
13,0.64690,0.54927,-0.11400,0.04927,-6.532
14,0.68645,0.54330,-0.14984,0.04330,-8.585
15,0.72607,0.53781,-0.13775,0.03781,-7.892
16,0.76570,0.53236,-0.13671,0.03236,-7.833
17,0.80545,0.52792,-0.11124,0.02792,-6.373
18,0.84526,0.52398,-0.09856,0.02398,-5.647
