t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18036,0.52604,0.70894,0.02604,40.619
2,0.21426,0.54727,0.55959,0.04727,32.062
3,0.25015,0.56494,0.45750,0.06494,26.213
4,0.28880,0.57524,0.26029,0.07524,14.914
5,0.32864,0.57880,0.08911,0.07880,5.106
6,0.36864,0.57828,-0.01288,0.07828,-0.738
7,0.40846,0.57455,-0.09355,0.07455,-5.360
8,0.44824,0.57030,-0.10622,0.07030,-6.086
9,0.48804,0.56633,-0.09963,0.06633,-5.708
10,0.52774,0.56146,-0.12186,0.06146,-6.982
11,0.56728,0.55537,-0.15283,0.05537,-8.756
12,0.60705,0.55113,-0.10624,0.05113,-6.087
13,0.64694,0.54814,-0.07499,0.04814,-4.297
14,0.68675,0.54425,-0.09744,0.04425,-5.583
15,0.72666,0.54154,-0.06773,0.04154,-3.881
16,0.76658,0.53909,-0.06133,0.03909,-3.514
17,0.80652,0.53685,-0.05587,0.03685,-3.201
18,0.84647,0.53483,-0.05065,0.03483,-2.902
