t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,1.30900,0.00000,75.000
1,0.16379,0.53755,1.21875,0.03755,69.829
2,0.18542,0.57119,0.99945,0.07119,57.264
3,0.21160,0.60144,0.85728,0.10144,49.118
4,0.24283,0.62643,0.67489,0.12643,38.668
5,0.27794,0.64559,0.49965,0.14559,28.628
6,0.31604,0.65778,0.30966,0.15778,17.742
7,0.35552,0.66424,0.16213,0.16424,9.290
8,0.39547,0.66611,0.04666,0.16611,2.673
9,0.43540,0.66360,-0.06259,0.16360,-3.586
10,0.47470,0.65615,-0.18739,0.15615,-10.736
11,0.51314,0.64511,-0.27977,0.14511,-16.030
12,0.55132,0.63318,-0.30287,0.13318,-17.353
13,0.58978,0.62219,-0.27833,0.12219,-15.947
14,0.62795,0.61024,-0.30326,0.11024,-17.375
15,0.66638,0.59914,-0.28124,0.09914,-16.114
16,0.70525,0.58970,-0.23824,0.08970,-13.650
17,0.74455,0.58221,-0.18831,0.08221,-10.789
18,0.78422,0.57713,-0.12731,0.07713,-7.295
