t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,1.57080,0.00000,90.000
1,0.15336,0.53986,1.48664,0.03986,85.178
2,0.16560,0.57794,1.26000,0.07794,72.193
3,0.18266,0.61412,1.12995,0.11412,64.741
4,0.20769,0.64532,0.89495,0.14532,51.277
5,0.23900,0.67021,0.67155,0.17021,38.477
6,0.27503,0.68759,0.44950,0.18759,25.755
7,0.31389,0.69708,0.23932,0.19708,13.712
8,0.35371,0.70082,0.09381,0.20082,5.375
9,0.39371,0.70127,0.01120,0.20127,0.642
10,0.43335,0.69594,-0.13356,0.19594,-7.653
11,0.47195,0.68546,-0.26527,0.18546,-15.199
12,0.51007,0.67334,-0.30770,0.17334,-17.630
13,0.54840,0.66188,-0.29068,0.16188,-16.655
14,0.58557,0.64712,-0.37800,0.14712,-21.658
15,0.62342,0.63418,-0.32938,0.13418,-18.872
16,0.66153,0.62202,-0.30893,0.12202,-17.700
17,0.70000,0.61107,-0.27726,0.11107,-15.886
18,0.73880,0.60135,-0.24534,0.10135,-14.057
