width,model,final_lat,max_excursion,in_bounds
0.4,unicycle (oracle),0.0865,0.2383,0
0.4,ego (gray-box),0.0783,0.2391,0
0.4,grounded,0.0780,0.2383,0
0.4,residual JEPA (probe),0.7977,0.7977,0
0.3,unicycle (oracle),0.0693,0.2358,0
0.3,ego (gray-box),0.0583,0.2359,0
0.3,grounded,0.0647,0.2358,0
0.3,residual JEPA (probe),0.7066,0.7066,0
0.2,unicycle (oracle),0.0469,0.2355,0
0.2,ego (gray-box),0.0367,0.2355,0
0.2,grounded,0.0396,0.2355,0
0.2,residual JEPA (probe),0.7664,0.7664,0
0.15,unicycle (oracle),0.0336,0.2354,0
0.15,ego (gray-box),0.0250,0.2354,0
0.15,grounded,0.0240,0.2355,0
0.15,residual JEPA (probe),0.7804,0.7804,0
0.1,unicycle (oracle),0.0197,0.2354,0
0.1,ego (gray-box),0.0103,0.2354,0
0.1,grounded,0.0077,0.2356,0
0.1,residual JEPA (probe),0.7751,0.7751,0
