t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,1.04720,0.15000,60.000
1,0.17285,0.68283,0.96272,0.18283,55.160
2,0.20311,0.70899,0.71272,0.20899,40.836
3,0.23890,0.72685,0.46293,0.22685,26.524
4,0.27797,0.73544,0.21643,0.23544,12.400
5,0.31795,0.73421,-0.03067,0.23421,-1.757
6,0.35647,0.72343,-0.27297,0.22343,-15.640
7,0.39149,0.70410,-0.50444,0.20410,-28.902
8,0.42445,0.68143,-0.60255,0.18143,-34.524
9,0.45547,0.65617,-0.68325,0.15617,-39.148
10,0.48707,0.63165,-0.65982,0.13165,-37.805
11,0.51818,0.60651,-0.67967,0.10651,-38.942
12,0.55279,0.58646,-0.52513,0.08646,-30.088
13,0.59026,0.57245,-0.35778,0.07245,-20.499
14,0.62753,0.55793,-0.37145,0.05793,-21.283
15,0.66638,0.54842,-0.24008,0.04842,-13.756
16,0.70600,0.54290,-0.13835,0.04290,-7.927
17,0.74554,0.53682,-0.15275,0.03682,-8.752
18,0.78541,0.53361,-0.08030,0.03361,-4.601
