t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,1.04720,0.15000,60.000
1,0.16548,0.68688,1.17329,0.18688,67.224
2,0.17411,0.72594,1.35345,0.22594,77.547
3,0.17676,0.76585,1.50453,0.26585,86.203
4,0.17020,0.80531,1.73555,0.30531,99.439
5,0.15408,0.84192,1.98554,0.34192,113.763
6,0.13983,0.87930,1.93497,0.37930,110.866
7,0.13517,0.91902,1.68762,0.41902,96.693
8,0.12468,0.95762,1.83618,0.45762,105.206
9,0.12406,0.99762,1.58618,0.49762,90.882
10,0.13326,1.03655,1.33883,0.53655,76.709
11,0.15180,1.07199,1.08892,0.57199,62.390
12,0.17829,1.10196,0.84687,0.60196,48.522
13,0.21082,1.12524,0.62123,0.62524,35.594
14,0.24127,1.15118,0.70552,0.65118,40.423
15,0.27558,1.17174,0.53996,0.67174,30.937
16,0.31173,1.18885,0.44199,0.68885,25.324
17,0.35002,1.20044,0.29402,0.70044,16.846
18,0.38954,1.20658,0.15411,0.70658,8.830
