t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,1.04720,0.15000,60.000
1,0.17285,0.68283,0.96272,0.18283,55.160
2,0.20311,0.70899,0.71285,0.20899,40.843
3,0.23838,0.72785,0.49113,0.22785,28.140
4,0.27712,0.73783,0.25192,0.23783,14.434
5,0.31710,0.73914,0.03281,0.23914,1.880
6,0.35657,0.73265,-0.16302,0.23265,-9.340
7,0.39518,0.72218,-0.26475,0.22218,-15.169
8,0.43352,0.71080,-0.28851,0.21080,-16.530
9,0.47163,0.69863,-0.30916,0.19863,-17.714
10,0.50908,0.68458,-0.35892,0.18458,-20.565
11,0.54488,0.66673,-0.46239,0.16673,-26.493
12,0.58174,0.65122,-0.39840,0.15122,-22.827
13,0.61980,0.63889,-0.31330,0.13889,-17.951
14,0.65671,0.62349,-0.39522,0.12349,-22.645
15,0.69436,0.60997,-0.34476,0.10997,-19.753
16,0.73257,0.59814,-0.30015,0.09814,-17.197
17,0.77120,0.58775,-0.26285,0.08775,-15.060
18,0.81007,0.57831,-0.23830,0.07831,-13.654
