t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.78540,0.00000,45.000
1,0.18036,0.52604,0.70897,0.02604,40.621
2,0.21424,0.54730,0.56041,0.04730,32.109
3,0.25005,0.56512,0.46171,0.06512,26.454
4,0.28862,0.57574,0.26857,0.07574,15.388
5,0.32839,0.58005,0.10808,0.08005,6.192
6,0.36839,0.58030,0.00622,0.08030,0.356
7,0.40829,0.57752,-0.06964,0.07752,-3.990
8,0.44813,0.57398,-0.08844,0.07398,-5.067
9,0.48802,0.57101,-0.07452,0.07101,-4.270
10,0.52780,0.56683,-0.10463,0.06683,-5.995
11,0.56752,0.56208,-0.11898,0.06208,-6.817
12,0.60744,0.55960,-0.06195,0.05960,-3.550
13,0.64743,0.55847,-0.02831,0.05847,-1.622
14,0.68734,0.55576,-0.06787,0.05576,-3.889
15,0.72727,0.55339,-0.05920,0.05339,-3.392
16,0.76720,0.55108,-0.05796,0.05108,-3.321
17,0.80713,0.54869,-0.05966,0.04869,-3.418
18,0.84709,0.54696,-0.04328,0.04696,-2.480
