v_ref,commanded_v,model,mode,speed_err
0.12,0.1394,oracle,basis,0.0143
0.15,0.1838,oracle,basis,0.0058
0.18,0.2354,oracle,basis,0.0245
0.2,0.2764,oracle,basis,0.0362
0.22,0.3268,oracle,basis,0.0474
0.24,0.4000,oracle,basis,0.0583
0.12,0.1394,ego,basis,0.0307
0.15,0.1838,ego,basis,0.0121
0.18,0.2354,ego,basis,0.0055
0.2,0.2764,ego,basis,0.0170
0.22,0.3268,ego,basis,0.0277
0.24,0.4000,ego,basis,0.0384
0.12,0.1394,grounded,basis,0.0445
0.15,0.1838,grounded,basis,0.0262
0.18,0.2354,grounded,basis,0.0113
0.2,0.2764,grounded,basis,0.0002
0.22,0.3268,grounded,basis,0.0121
0.24,0.4000,grounded,basis,0.0262
0.12,0.1394,oracle,mlp,0.0143
0.15,0.1838,oracle,mlp,0.0058
0.18,0.2354,oracle,mlp,0.0245
0.2,0.2764,oracle,mlp,0.0362
0.22,0.3268,oracle,mlp,0.0474
0.24,0.4000,oracle,mlp,0.0583
0.12,0.1394,ego,mlp,0.0267
0.15,0.1838,ego,mlp,0.0071
0.18,0.2354,ego,mlp,0.0118
0.2,0.2764,ego,mlp,0.0247
0.22,0.3268,ego,mlp,0.0360
0.24,0.4000,ego,mlp,0.0471
0.12,0.1394,grounded,mlp,0.0330
0.15,0.1838,grounded,mlp,0.0073
0.18,0.2354,grounded,mlp,0.0125
0.2,0.2764,grounded,mlp,0.0280
0.22,0.3268,grounded,mlp,0.0413
0.24,0.4000,grounded,mlp,0.0510
